#			1
JAGI   25.00    1.000   P
PWJI   27.10    1.000   P
GMJI   37.10    1.000   S
JAGI   44.60    1.000   S
PWJI   48.70    1.000   S
#			29
GMJI   14.20    1.000   P
PWJI   16.50    1.000   P
GRJI   20.20    1.000   P
JAGI   24.20    1.000   P
PCJI   26.20    1.000   P
PWJI   30.10    1.000   S
#			30
PCJI   15.00    1.000   P
PWJI   18.50    1.000   P
SWJI   23.00    1.000   P
PCJI   26.70    1.000   S
PWJI   33.00    1.000   S
#			31
PCJI   16.70    1.000   P
PWJI   23.90    1.000   P
SWJI   28.20    1.000   P
PCJI   30.10    1.000   S
SCJI   30.80    1.000   P
KPJI   38.70    1.000   P
PWJI   42.10    1.000   S
GRJI   44.60    1.000   P
#			32
PWJI   25.00    1.000   P
PCJI   28.90    1.000   P
SWJI   31.50    1.000   P
GMJI   31.60    1.000   P
JAGI   37.80    1.000   P
BLJI   38.00    1.000   P
BYJI   42.90    1.000   P
GRJI   43.30    1.000   P
ABJI   44.60    1.000   P
PWJI   44.70    1.000   S
SMRI   46.40    1.000   P
KMMI   48.70    1.000   P
PCJI   51.20    1.000   S
KPJI   56.20    1.000   P
BWJI   57.20    1.000   P
SWJI   57.50    1.000   S
GMJI   58.10    1.000   S
JAGI   68.40    1.000   S
BLJI   69.40    1.000   S
LEM   75.00    1.000   P
BYJI   76.10    1.000   S
GRJI   77.70    1.000   S
TBJI   80.10    1.000   P
ABJI   80.30    1.000   S
SMRI   84.80    1.000   S
KMMI   88.80    1.000   S
SCJI   92.80    1.000   P
KPJI   103.10    1.000   S
BWJI   103.80    1.000   S
#			33
GMJI   45.20    1.000   P
JAGI   45.90    1.000   P
PWJI   47.00    1.000   P
PCJI   48.30    1.000   P
SWJI   50.70    1.000   P
ABJI   55.20    1.000   P
CMJI   76.70    1.000   P
GMJI   79.80    1.000   S
JAGI   82.80    1.000   S
PWJI   85.50    1.000   S
PCJI   87.10    1.000   S
SWJI   95.00    1.000   S
BLJI   95.90    1.000   P
ABJI   99.50    1.000   S
KMMI   113.00    1.000   P
GRJI   113.10    1.000   P
CGJI   117.10    1.000   P
KPJI   140.80    1.000   P
CGJI   209.20    1.000   S
#			34
PCJI   13.90    1.000   P
SMRI   16.80    1.000   P
PWJI   23.60    1.000   P
SWJI   23.80    1.000   P
PCJI   24.20    1.000   S
SCJI   24.60    1.000   P
CTJI   27.80    1.000   P
KPJI   29.00    1.000   P
SMRI   30.20    1.000   S
TBJI   30.50    1.000   P
SWJI   41.20    1.000   S
PWJI   42.10    1.000   S
SCJI   43.10    1.000   S
CTJI   49.80    1.000   S
KPJI   51.60    1.000   S
TBJI   53.90    1.000   S
GRJI   65.00    1.000   P
#			35
PCJI   11.40    1.000   P
PWJI   14.50    1.000   P
SWJI   19.00    1.000   P
PCJI   21.30    1.000   S
PWJI   25.50    1.000   S
SWJI   33.30    1.000   S
#			36
PCJI   14.50    1.000   P
PWJI   14.60    1.000   P
SWJI   16.80    1.000   P
SWJI   29.80    1.000   S
#			37
