X,Y
112.991813,-9.678
112.952336,-9.730215
111.830737,-7.621994
112.123568,-7.567735
112.695923,10.636404
112.527759,-9.40013
112.64519,10.209688
111.495256,-8.206367
110.484863,-8.876578
110.552043,10.253984
111.320565,-9.089215
110.611678,-5.667414
111.083301,-8.699366
112.292668,-9.43062
111.0212,10.404072
110.53243,-8.707627
112.837402,-9.579048
111.449284,-8.646982
112.709302,-8.588786
112.405306,-9.069304
112.072396,-8.134383
111.365877,-9.189869
111.400553,-8.753789
110.17137,-8.277485
110.329956,-9.120435
110.192065,-8.974332
110.152466,-8.120751
110.556624,-9.057237
112.910669,-9.555389
110.345101,-9.129926
110.369214,-9.057958
110.317407,-9.027927
110.3288,-9.206847
112.41451,-8.652938
112.837467,-7.921216
112.962801,-9.54427
112.874194,-9.782729
110.589746,-8.555673
112.054395,-8.982817
111.178158,-9.088182
112.816195,-9.120453
112.339738,-8.806243
110.583691,-9.079202
111.217716,-8.591027
112.145272,-8.053064
111.340324,-9.166913
112.889591,-8.486271
110.649341,-9.215989
112.143522,-8.825195
111.645858,-8.912502
110.38741,-9.426227
112.708724,-8.653572
112.916618,-9.417528
112.073796,-8.41543
111.034188,-8.868125
111.611019,-8.234383
112.889242,-9.142161
112.567993,10.638304
111.244572,-8.672415
112.519198,-9.015212
111.200545,-8.94952
111.435514,-7.808858
111.478052,-7.913134
111.385343,-7.762256
111.412703,-7.662612
110.440405,-9.071212
112.281885,-9.006724
110.954118,-8.908137
110.681144,-8.841354
110.36333,-8.795083
112.804126,-9.394102
111.369792,-9.136844
110.963387,-8.881717
112.13606,10.761251
110.141992,-9.553901
110.233276,-9.457294
110.277694,-9.552794
110.245467,-9.553725
111.543612,-8.692374
112.064201,-9.095365
109.957772,-7.332624
111.702686,-8.168319
112.539478,-8.93914
110.44165,-8.623073
112.855526,-9.656577
112.856746,-9.549525
112.846387,-9.511428
112.455086,11.376384
112.551172,-8.07327
112.798128,-8.94852
111.368888,-8.795563
110.515682,-8.846544
110.437036,-8.869146
112.25944,10.584957
112.538599,-6.855784
111.101514,-9.27084
112.901823,-9.278255
110.9396,-8.000187
112.923511,-9.585224
112.953923,-9.436201
112.962223,-9.576249
112.913053,-9.733488
111.154679,-8.741486
110.650301,-9.151623
110.643465,-9.190376
110.649552,-9.210502
110.143481,-7.924711
112.935229,-9.570632
110.072087,-9.337865
111.536768,-8.645957
111.718758,-7.372012
110.674699,-9.838784
112.521322,10.57443
111.394466,-7.928278
110.695508,-8.524798
110.492358,-9.273243
111.310685,-8.703285
110.436491,-9.32828
110.387655,-9.040218
111.110864,10.731828
112.057674,-6.899911
111.536589,-8.780604
110.691512,-8.433602
110.774194,-8.20614
111.610514,-9.261078
111.957153,-9.171574
112.117725,11.363393
111.692969,10.355183
110.580396,-9.117769
112.255387,-6.444138
112.8038,-9.244448
112.74943,-7.546295
110.051392,-9.120703
112.528158,-9.180276
110.531071,-9.672229
111.260856,-9.030983
112.431079,-8.406842
111.403052,-9.017846
111.342847,-8.856387
112.923893,-9.496722
112.909025,-9.371019
112.597339,-6.413503
112.947998,-8.530099
111.313452,-8.339347
111.203491,-9.233611
109.961694,-6.945392
112.314445,-9.609825
111.52404,-8.561175
110.629582,-6.714805
111.56875,-8.468643
111.162939,-8.834352
111.535653,-9.157611
111.436491,10.213103
111.347005,-9.09438
110.538729,-9.052509
110.5861,11.052582
111.677051,10.894854
110.490104,-9.195183
110.678735,-8.45183
110.562606,-9.036454
111.85179,-8.955002
111.371623,-8.96927
110.731755,-8.656371
111.803589,-8.752251
111.402091,-8.35401
112.506803,-8.82663
110.569816,-9.103505
110.482454,-8.714362
111.994027,-9.106256
112.805802,-9.586087
112.772591,-8.613801
111.935929,10.404217
110.453035,-9.078334
110.664673,-8.638914
112.932072,-8.105595
111.760164,-8.783868
110.956779,-8.940833
112.210718,10.579279
110.629281,-8.907138
110.230225,-9.150908
111.294963,-9.134771
110.459814,-9.017319
110.615625,-9.22888
110.335824,-8.387721
112.489274,-8.917804
111.903857,11.401392
111.020923,-9.00742
111.962394,11.033384
110.261214,-8.403736
111.940999,-8.963531
111.775773,-8.570845
111.471777,-8.771464
111.072355,-8.659962
110.223315,-8.968854
110.241227,-8.999214
111.597428,-8.477299
110.67793,-8.942251
111.725505,-7.364543
110.225732,-9.057914
112.517741,-8.739306
110.625993,-8.741002
112.468066,-8.821953
110.137305,-9.460741
110.256909,-9.236159
111.265454,-9.046852
112.859473,-9.457388
111.99222,-8.951558
110.420166,-8.914155
112.73339,-8.50496
112.603361,-8.598805
111.183415,-9.689107
111.427547,-8.831686
110.528939,-9.398166
110.536792,-7.940188
111.034009,-8.897954
110.393791,-8.050096
112.425863,-8.465096
110.769019,11.895376
110.542269,-9.191769
112.304598,-8.951812
112.860181,-9.486293
111.764722,-8.785562
111.790942,-8.468577
111.241073,-8.935111
112.477653,-8.87072
110.442448,-9.015027
111.434782,-8.97682
111.244336,-9.007489
111.690991,-9.411239
110.218978,-8.710769
110.170426,-8.241512
110.122713,-8.257999
111.282479,-8.964692
112.48846,-8.896743
110.397119,-8.873626
111.653516,-9.530442
110.978499,-7.450838
111.075594,10.821671
111.029647,-6.046587
111.436377,-9.160237
111.140902,-8.458858
112.074414,-7.433937
112.506868,-8.890757
110.785986,-8.719239
110.409049,-9.640286
