X          Y          VP
111.371623 -8.969270  40.948 
110.731755 -8.656371   6.946 
111.803589 -8.752251  62.877 
111.402091 -8.354010 111.653 
112.506803 -8.826630  51.979 
110.569816 -9.103505   7.525 
110.482454 -8.714362  45.613 
111.994027 -9.106256   7.233 
112.805802 -9.586087  21.506 
112.772591 -8.613801 128.930 
111.935929 -10.40421   3.9277 
110.453035 -9.078334   6.614 
110.664673 -8.638914  95.717 
112.932072 -8.105595 151.987 
111.760164 -8.783868  44.215 
110.956779 -8.940833  15.937 
112.210718 -10.57927   8.2579 
110.629281 -8.907138  23.158 
110.230225 -9.150908   5.151 
111.294963 -9.134771   6.899 
110.459814 -9.017319   9.713 
110.615625 -9.228880  47.023 
110.335824 -8.387721  52.875 
112.489274 -8.917804  25.476 
111.903857 -11.40139   4.7832 
111.020923 -9.007420  20.860 
111.962394 -11.03338   4.0404 
110.261214 -8.403736  77.607 
111.940999 -8.963531  22.019 
111.775773 -8.570845 115.053 
111.471777 -8.771464  20.920 
111.072355 -8.659962   5.899 
110.223315 -8.968854  12.341 
110.241227 -8.999214  28.719 
111.597428 -8.477299  12.341 
110.677930 -8.942251  15.028 
111.725505 -7.364543   3.518 
110.225732 -9.057914  38.262 
112.517741 -8.739306  84.562 
110.625993 -8.741002  11.942 
112.468066 -8.821953  56.081 
110.137305 -9.460741   9.106 
110.256909 -9.236159   9.174 
111.265454 -9.046852  28.175 
112.859473 -9.457388   6.016 
111.992220 -8.951558   6.840 
110.420166 -8.914155   2.440 
112.733390 -8.504960 114.897 
112.603361 -8.598805 122.340 
111.183415 -9.689107   0.825 
111.427547 -8.831686  19.259 
110.528939 -9.398166   4.025 
110.536792 -7.940188   3.525 
111.034009 -8.897954  11.896 
110.393791 -8.050096   3.823 
112.425863 -8.465096  95.539 
110.769019 -11.89537  17.1536 
110.542269 -9.191769   0.793 
112.304598 -8.951812   0.616 
112.860181 -9.486293   2.438 
111.764722 -8.785562   8.113 
111.790942 -8.468577 105.849 
111.241073 -8.935111  45.586 
112.477653 -8.870720  35.210 
110.442448 -9.015027  49.383 
111.434782 -8.976820   6.038 
111.244336 -9.007489  10.247 
111.690991 -9.411239  17.479 
110.218978 -8.710769   3.498 
110.170426 -8.241512 116.903 
110.122713 -8.257999 106.513 
111.282479 -8.964692   2.372 
112.488460 -8.896743  42.928 
110.397119 -8.873626  13.625 
111.653516 -9.530442  14.111 
110.978499 -7.450838 246.893 
111.075594 -10.82167   0.3401 
111.029647 -6.046587  20.491 
111.436377 -9.160237  18.552 
111.140902 -8.458858  76.380 
112.074414 -7.433937 199.116 
112.506868 -8.890757  31.049 
110.785986 -8.719239   6.534 
110.409049 -9.640286   4.029 
111.827140 -8.995181   7.900 
113.034969 -9.074844  67.348 
111.059204 -8.703569   5.496 
112.205900 -7.876470 185.269 
112.815104 -9.683511   3.726 
110.489714 -9.046153   7.177 
111.021484 -8.950024  24.516 
110.987842 -8.883487   1.797 
111.774243 -10.94529  18.5321 
110.589958 -9.116973  67.933 
110.421720 -8.541131  25.370 
112.522852 -6.188402 557.513 
111.391195 -9.099776   1.433 
110.659863 -9.074648   7.698 
110.321362 -9.366121   3.181 
110.468335 -9.494688   1.120 
110.976652 -8.880231  17.041 
110.615641 -5.761559 550.103 
110.585628 -7.909216   0.989 
110.667114 -9.166836   4.586 
110.550846 -7.759856  29.559 
110.397510 -9.282664  26.844 
110.285563 -9.262650   3.574 
110.398307 -9.311131   2.316 
110.404997 -9.209931   2.363 
110.491382 -8.938439   4.303 
110.375350 -9.185897   1.081 
110.355021 -9.324192   3.884 
110.264209 -9.147995   4.188 
110.405412 -9.140653   9.673 
110.400456 -9.080202   7.126 
110.403328 -9.222255   6.223 
110.454484 -9.190998   2.495 
110.484741 -8.902027   3.298 
110.308309 -9.278240   2.086 
110.317660 -8.919183   3.989 
111.154915 -7.536648   6.533 
111.872013 -8.943182   5.375 
110.363672 -9.176186  14.487 
110.488786 -9.248464   2.088 
110.544149 -9.042409   7.166 
110.473258 -9.171166  23.117 
110.421924 -9.081906   9.495 
110.454451 -9.134478  15.381 
110.462012 -9.199929   4.580 
110.452319 -9.134681   7.671 
112.012085 -9.085048  12.236 
110.546257 -8.786734   6.725 
110.407552 -9.200563   1.628 
112.056120 -9.141556   2.152 
110.951139 -10.86224   1.8647 
112.237663 -9.350822  64.581 
112.862126 -8.814204  88.074 
110.825301 -8.908297  85.020 
112.920280 -9.126917   1.229 
111.108618 -8.740039  16.307 
110.359993 -9.117352   2.436 
111.311849 -8.937956   3.184 
112.835897 -9.113466  45.253 
110.126603 -8.069443  10.899 
112.666829 -8.735878  87.831 
110.140845 -10.72363  92.7723 
112.709521 -9.560689  22.852 
110.915161 -8.726305   6.518 
110.924422 -7.883377   3.846 
111.443823 -9.758360  22.431 
111.519393 -9.849953  24.454 
111.492546 -9.806908   1.785 
110.317660 -9.138151   1.663 
111.259285 -8.865213  45.500 
111.430924 -8.517317 111.179 
113.024089 -9.379769  29.113 
111.502466 -9.235815  30.622 
111.471053 -7.243751 252.774 
112.487256 -8.886958  53.520 
110.429834 -8.970523  12.878 
111.289657 -9.133894  12.521 
110.317904 -8.632234  55.106 
112.509521 -9.351624  10.327 
111.863037 -9.504007  16.137 
110.065430 -8.869629   7.823 
110.366976 -8.949634   6.557 
111.346281 -9.153628  10.107 
111.170101 -10.14458  24.6148 
112.561174 -9.704029  21.342 
110.110417 -9.151503   4.926 
111.525936 -8.773556  80.142 
110.609033 -9.179994   3.370 
112.831291 -9.425948   6.882 
111.610604 -8.985553  86.938 
112.510140 -9.002018   8.783 
111.098438 -8.988606  72.352 
111.394580 -9.126378   1.741 
110.377238 -9.254659  75.222 
110.392912 -9.309649   8.242 
110.405298 -9.174947   4.722 
110.315283 -9.198174   2.089 
110.273096 -9.294734   3.838 
110.355656 -8.580017   8.073 
110.542586 -8.801201   9.240 
111.286670 -8.908794   1.038 
111.345785 -8.719380 115.340 
112.647542 -8.634080  77.128 
110.112760 -8.945229   5.438 
111.728353 -7.595122  11.657 
111.749097 -7.600081   8.244 
112.750602 -10.29811  62.0488 
112.639974 -10.23256  22.9769 
112.763908 -10.34286  11.1233 
112.737663 -10.35218  12.1770 
111.575545 -8.847557  53.600 
110.661410 -8.779092   5.352 
111.314600 -9.032557  17.204 
112.514355 -9.005998   7.491 
110.444507 -9.153491   4.334 
110.303792 -9.058294   1.948 
110.263330 -9.004763  13.255 
111.274341 -7.826502  15.604 
111.935954 -8.495376  86.809 
110.384253 -8.897840  61.861 
111.633171 -9.394875   5.585 
111.498120 -9.485852   2.164 
112.874976 -9.511222  18.423 
112.842603 -9.564031   4.681 
112.839233 -9.401502   2.489 
112.881022 -9.469002   4.004 
112.490080 -11.24987  43.7402 
111.145231 -8.928313  73.891 
112.726367 -9.590587   6.967 
112.820793 -9.621310   8.760 
